Holes,Strengths
AKs,0.66999
AQs,0.66152
AJs,0.653555
ATs,0.645555
A9s,0.630195
A8s,0.619515
A7s,0.611705
A6s,0.598395
A5s,0.598895
A4s,0.59061
A3s,0.5797
A2s,0.573555
KQs,0.63398
KJs,0.625865
KTs,0.616365
K9s,0.601845
K8s,0.58302
K7s,0.57322
K6s,0.566055
K5s,0.55638
K4s,0.54809
K3s,0.54188
K2s,0.532885
QJs,0.60027
QTs,0.59374
Q9s,0.578215
Q8s,0.56053
Q7s,0.542915
Q6s,0.53519
Q5s,0.52862
Q4s,0.518055
Q3s,0.511215
Q2s,0.503725
JTs,0.57581
J9s,0.555645
J8s,0.54256
J7s,0.524935
J6s,0.507205
J5s,0.49953
J4s,0.48845
J3s,0.480235
J2s,0.473855
T9s,0.54117
T8s,0.52374
T7s,0.507475
T6s,0.487625
T5s,0.47441
T4s,0.463
T3s,0.4562
T2s,0.446825
98s,0.50868
97s,0.492975
96s,0.479665
95s,0.458395
94s,0.43744
93s,0.431815
92s,0.425805
87s,0.477455
86s,0.464345
85s,0.446045
84s,0.42795
83s,0.409135
82s,0.40425
76s,0.45628
75s,0.4359
74s,0.415475
73s,0.39771
72s,0.38243
65s,0.431095
64s,0.410595
63s,0.393015
62s,0.375405
54s,0.416305
53s,0.39512
52s,0.376395
43s,0.3884
42s,0.36914
32s,0.360475
AKo,0.65389
AQo,0.641245
AJo,0.635335
ATo,0.6262
A9o,0.60939
A8o,0.598645
A7o,0.59037
A6o,0.580435
A5o,0.577065
A4o,0.56677
A3o,0.560365
A2o,0.54837
KQo,0.612915
KJo,0.60412
KTo,0.59766
K9o,0.578205
K8o,0.558355
K7o,0.55302
K6o,0.54201
K5o,0.53345
K4o,0.524025
K3o,0.511815
K2o,0.5068
QJo,0.57967
QTo,0.5748
Q9o,0.556945
Q8o,0.53569
Q7o,0.51624
Q6o,0.511755
Q5o,0.501265
Q4o,0.49148
Q3o,0.48074
Q2o,0.47523
JTo,0.553035
J9o,0.53318
J8o,0.51414
J7o,0.49859
J6o,0.47819
J5o,0.47261
J4o,0.46211
J3o,0.451805
J2o,0.444345
T9o,0.51388
T8o,0.496185
T7o,0.47876
T6o,0.45945
T5o,0.441145
T4o,0.4356
T3o,0.42687
T2o,0.417055
98o,0.483005
97o,0.462785
96o,0.4441
95o,0.424505
94o,0.40405
93o,0.40267
92o,0.391025
87o,0.44998
86o,0.43139
85o,0.41322
84o,0.394325
83o,0.375855
82o,0.368295
76o,0.42327
75o,0.40447
74o,0.38574
73o,0.368605
72o,0.346405
65o,0.399605
64o,0.380575
63o,0.36109
62o,0.340605
54o,0.381445
53o,0.36218
52o,0.33943
43o,0.349895
42o,0.332685
32o,0.32174
AAo,0.854225
KKo,0.82466
QQo,0.798985
JJo,0.773355
TTo,0.75126
99o,0.722775
88o,0.693715
77o,0.65953
66o,0.628835
55o,0.60235
44o,0.570415
33o,0.534795
22o,0.50261
